actual_deaths,date,county_state,deaths_predicted_county,deaths_predicted_shared,deaths_predicted_ensemble,date_of_10_deaths,days_since_10_deaths
0,2020-01-28,"New York County, NY",NA,NA,NA,2020-03-22,-54
0,2020-01-29,"New York County, NY",NA,NA,NA,2020-03-22,-53
0,2020-01-30,"New York County, NY",NA,NA,NA,2020-03-22,-52
0,2020-01-31,"New York County, NY",NA,NA,NA,2020-03-22,-51
0,2020-02-01,"New York County, NY",NA,NA,NA,2020-03-22,-50
0,2020-02-02,"New York County, NY",NA,NA,NA,2020-03-22,-49
0,2020-02-03,"New York County, NY",NA,NA,NA,2020-03-22,-48
0,2020-02-04,"New York County, NY",NA,NA,NA,2020-03-22,-47
0,2020-02-05,"New York County, NY",NA,NA,NA,2020-03-22,-46
0,2020-02-06,"New York County, NY",NA,NA,NA,2020-03-22,-45
0,2020-02-07,"New York County, NY",NA,NA,NA,2020-03-22,-44
0,2020-02-08,"New York County, NY",NA,NA,NA,2020-03-22,-43
0,2020-02-09,"New York County, NY",NA,NA,NA,2020-03-22,-42
0,2020-02-10,"New York County, NY",NA,NA,NA,2020-03-22,-41
0,2020-02-11,"New York County, NY",NA,NA,NA,2020-03-22,-40
0,2020-02-12,"New York County, NY",NA,NA,NA,2020-03-22,-39
0,2020-02-13,"New York County, NY",NA,NA,NA,2020-03-22,-38
0,2020-02-14,"New York County, NY",NA,NA,NA,2020-03-22,-37
0,2020-02-15,"New York County, NY",NA,NA,NA,2020-03-22,-36
0,2020-02-16,"New York County, NY",NA,NA,NA,2020-03-22,-35
0,2020-02-17,"New York County, NY",NA,NA,NA,2020-03-22,-34
0,2020-02-18,"New York County, NY",NA,NA,NA,2020-03-22,-33
0,2020-02-19,"New York County, NY",NA,NA,NA,2020-03-22,-32
0,2020-02-20,"New York County, NY",NA,NA,NA,2020-03-22,-31
0,2020-02-21,"New York County, NY",NA,NA,NA,2020-03-22,-30
0,2020-02-22,"New York County, NY",NA,NA,NA,2020-03-22,-29
0,2020-02-23,"New York County, NY",NA,NA,NA,2020-03-22,-28
0,2020-02-24,"New York County, NY",NA,NA,NA,2020-03-22,-27
0,2020-02-25,"New York County, NY",NA,NA,NA,2020-03-22,-26
0,2020-02-26,"New York County, NY",NA,NA,NA,2020-03-22,-25
0,2020-02-27,"New York County, NY",NA,NA,NA,2020-03-22,-24
0,2020-02-28,"New York County, NY",NA,NA,NA,2020-03-22,-23
0,2020-02-29,"New York County, NY",NA,NA,NA,2020-03-22,-22
0,2020-03-01,"New York County, NY",NA,NA,NA,2020-03-22,-21
0,2020-03-02,"New York County, NY",NA,NA,NA,2020-03-22,-20
0,2020-03-03,"New York County, NY",NA,NA,NA,2020-03-22,-19
0,2020-03-04,"New York County, NY",NA,NA,NA,2020-03-22,-18
0,2020-03-05,"New York County, NY",NA,NA,NA,2020-03-22,-17
0,2020-03-06,"New York County, NY",NA,NA,NA,2020-03-22,-16
0,2020-03-07,"New York County, NY",NA,NA,NA,2020-03-22,-15
0,2020-03-08,"New York County, NY",NA,NA,NA,2020-03-22,-14
0,2020-03-09,"New York County, NY",NA,NA,NA,2020-03-22,-13
0,2020-03-10,"New York County, NY",NA,NA,NA,2020-03-22,-12
0,2020-03-11,"New York County, NY",NA,NA,NA,2020-03-22,-11
0,2020-03-12,"New York County, NY",NA,NA,NA,2020-03-22,-10
0,2020-03-13,"New York County, NY",NA,NA,NA,2020-03-22,-9
0,2020-03-14,"New York County, NY",NA,NA,NA,2020-03-22,-8
4,2020-03-15,"New York County, NY",NA,NA,NA,2020-03-22,-7
0,2020-03-16,"New York County, NY",NA,NA,NA,2020-03-22,-6
0,2020-03-17,"New York County, NY",NA,NA,NA,2020-03-22,-5
0,2020-03-18,"New York County, NY",NA,NA,NA,2020-03-22,-4
0,2020-03-19,"New York County, NY",NA,NA,NA,2020-03-22,-3
0,2020-03-20,"New York County, NY",NA,NA,NA,2020-03-22,-2
0,2020-03-21,"New York County, NY",NA,NA,NA,2020-03-22,-1
10,2020-03-22,"New York County, NY",NA,NA,NA,2020-03-22,0
19,2020-03-23,"New York County, NY",NA,NA,NA,2020-03-22,1
35,2020-03-24,"New York County, NY",NA,NA,NA,2020-03-22,2
43,2020-03-25,"New York County, NY",NA,NA,NA,2020-03-22,3
55,2020-03-26,"New York County, NY",NA,NA,NA,2020-03-22,4
65,2020-03-27,"New York County, NY",NA,NA,NA,2020-03-22,5
93,2020-03-28,"New York County, NY",NA,NA,NA,2020-03-22,6
103,2020-03-29,"New York County, NY",NA,NA,NA,2020-03-22,7
119,2020-03-30,"New York County, NY",134.07330968999997,122.69790364935174,127.02666678000001,2020-03-22,8
129,2020-03-31,"New York County, NY",167.87569322999997,146.0317631547788,154.34418725,2020-03-22,9
165,2020-04-01,"New York County, NY",210.20028851,173.6905916398481,187.58388294,2020-03-22,10
0,2020-01-22,"Wayne County, MI",NA,NA,NA,2020-03-24,-62
0,2020-01-23,"Wayne County, MI",NA,NA,NA,2020-03-24,-61
0,2020-01-24,"Wayne County, MI",NA,NA,NA,2020-03-24,-60
0,2020-01-25,"Wayne County, MI",NA,NA,NA,2020-03-24,-59
0,2020-01-26,"Wayne County, MI",NA,NA,NA,2020-03-24,-58
0,2020-01-27,"Wayne County, MI",NA,NA,NA,2020-03-24,-57
0,2020-01-28,"Wayne County, MI",NA,NA,NA,2020-03-24,-56
0,2020-01-29,"Wayne County, MI",NA,NA,NA,2020-03-24,-55
0,2020-01-30,"Wayne County, MI",NA,NA,NA,2020-03-24,-54
0,2020-01-31,"Wayne County, MI",NA,NA,NA,2020-03-24,-53
0,2020-02-01,"Wayne County, MI",NA,NA,NA,2020-03-24,-52
0,2020-02-02,"Wayne County, MI",NA,NA,NA,2020-03-24,-51
0,2020-02-03,"Wayne County, MI",NA,NA,NA,2020-03-24,-50
0,2020-02-04,"Wayne County, MI",NA,NA,NA,2020-03-24,-49
